faust_number,isbn,book_title,book_author
48008283,,Den ugifte hertug,Julia Quinn (f. 1970)
53203744,,Villads fra Valby passer sig selv,Anne Sofie Hammer (f. 1972-02-05)
46054628,9788702262964,Tag gaden tilbage,"Sarah Engell,Sanne Munk Jensen"
51772768,,Manta og skovpiraterne,Jan Kjær (f. 1971)
48259936,,Tour de chambre,Tine Høeg (f. 1985)
47070473,,Skammekrogen,Sofie Sarenbrant
48024181,,Villads fra Valby spiller fodbold,Anne Sofie Hammer (f. 1972-02-05)
46938178,,Sallys fars fede ferie,Thomas Brunstrøm
39406233,,Torsdagsmordklubben,Richard Osman
47678617,,Et mere enkelt liv,Anna Fredriksson (f. 1966)
47892295,,Jan Kjærs Nomerne - skønhedsdrikken,Jan Kjær (f. 1971)
46174445,9788702283891,De Hemmelige Youtubere,Maria Rørbæk
61395024,,I ruiner,Morten Pape (f. 1986)
46512561,9788726137262,"Se mor, jeg danser",Puk Elgård
46039319,,21 nye helbredende dage med antiinflammatorisk kost,"Louise Bruun (f. 1975),Jerk W. Langer"
39305186,9788726924756,Naja Münster,Line Kyed Knudsen
62274042,,Den mørke engel,Elly Griffiths
27302777,9788702048056,Lille Virgil,Ole Lund Kirkegaard
39036657,9788702314939,En tyv i natten,Sara Ejersbo
47684315,,Skyggejægeren,Camilla Grebe
48077692,9788711983539,"Naja Münster - ferie, fjender og flødeskum",Line Kyed Knudsen
39082098,,"Skønne verden, hvor er du",Sally Rooney (f. 1991)
54945116,,Den tredje søster,Sara Blædel
62463015,,Brænd alle mine breve,Alex Schulman
52148898,,Vitello bygger en afskyelig snemand,Kim Fupz Aakeson
52401569,,Villads fra Valby køber slik,Anne Sofie Hammer (f. 1972-02-05)
62186925,,Nøjsomheden,Stine Askov
46883551,,En helt normal familie,Mattias Edvardsson (f. 1977)
38888129,,Mormor dansede i regnen,Trude Teige
46470222,,Normale mennesker,Sally Rooney (f. 1991)
52779189,9788711719978,Dybet,Michael Katz Krefeld
29630364,,Mimbo Jimbo og de store elefanter,Jakob Martin Strid
52304385,,Flunkerne hos dinosaurerne,"Joaquín Cera,Juan Carlos Ramis"
47763177,,De heldige,Georgia Hunter
62106972,,Huset på Rivieraen,Natasha Lester
38430645,,Familien Winther,Katrine Wessel
39344467,,En aften i august,Victoria Hislop
54627947,9788772008523,Bubbi - bliver f****** stjerne,"Morten Münster (f. 1997),Merlin P. Mann"
46658671,,De forsvundne roser,Martha Hall Kelly
54131623,,På sporet af flunkerne for fuld musik,"Joaquín Cera,Juan Carlos Ramis"
47678706,,Vejen til Warszawa,"Lotte Hammer,Søren Hammer"
46171993,,Oplyst,Tara Westover (f. 1986)
46862589,,Hvad er et menneske?,Svend Brinkmann
48489427,,Enden på historien,Jan Guillou
47080509,9788711918838,Sallys fars fede ferie,Thomas Brunstrøm
54209983,,Find Holger,Martin Handford
29308020,9788771052237,Vildheks. 1,Lene Kaaberbøl
38924575,,Den franske villa,Jennifer Bohnet
48639585,,På date med en morder,Anna Ekberg
47033748,,Fruen,Malene Lei Raben
46221974,,Sort perle,Liza Marklund
47059739,,Naja Münster - den store fuglefest,Line Kyed Knudsen
53399169,,Jytte fra Marketing er desværre gået for i dag,Morten Sehested Münster (f. 1980)
28280971,,Hvem har pruttet i Lasse-Leifs bukser?,Mette Finderup
38276263,9788740067729,Rampen,Jesper Stein
38856049,,Mand uden ansigt,Dennis Jürgensen
53209238,9788711796580,Det ender med os,Colleen Hoover
53753795,,Dødevaskeren,Sara Omar
47864291,9788726270228,Naja Münster - en temmelig tosset telttur,Line Kyed Knudsen
54933274,,Villads fra Valby skyder året i gang,Anne Sofie Hammer (f. 1972-02-05)
46249003,,Døden på museet,Elly Griffiths
46568834,,To uger i Toscana,Domenica De Rosa (f. 1963)
28204787,,Villads fra Valby i 0.V,Anne Sofie Hammer (f. 1972-02-05)
135229962,,Gøgeungen,Camilla Läckberg
135404977,,Bødlernes daggry,Michael Katz Krefeld
47376254,9788711913741,Verdens 100 klammeste dyr,Sebastian Klein
48595219,,Blomsterdalen,Niviaq Korneliussen
47588812,,Fejltrin,Maria Adolfsson
